Calculated Penalty,Expected Penalty,Errors
18373,0,Obliczona wartos (18373) nie jest taka sama jak 0).
136566,0,Obliczona wartos (136566) nie jest taka sama jak 0).
365419,0,Obliczona wartos (365419) nie jest taka sama jak 0).
1212308,0,Obliczona wartos (1212308) nie jest taka sama jak 0).
2066277,0,Obliczona wartos (2066277) nie jest taka sama jak 0).
2361836,0,Obliczona wartos (2361836) nie jest taka sama jak 0).
3323751,0,Obliczona wartos (3323751) nie jest taka sama jak 0).
4100077,0,Obliczona wartos (4100077) nie jest taka sama jak 0).
5151654,0,Obliczona wartos (5151654) nie jest taka sama jak 0).
6342314,0,Obliczona wartos (6342314) nie jest taka sama jak 0).
