Calculated Penalty,Expected Penalty,Errors
88868,0,Obliczona wartosc (88868) nie jest taka sama jak 0).
342582,0,Obliczona wartosc (342582) nie jest taka sama jak 0).
774661,0,Obliczona wartosc (774661) nie jest taka sama jak 0).
2444960,0,Obliczona wartosc (2444960) nie jest taka sama jak 0).
3674977,0,Obliczona wartosc (3674977) nie jest taka sama jak 0).
4432401,0,Obliczona wartosc (4432401) nie jest taka sama jak 0).
5165178,0,Obliczona wartosc (5165178) nie jest taka sama jak 0).
5999581,0,Obliczona wartosc (5999581) nie jest taka sama jak 0).
8425583,0,Obliczona wartosc (8425583) nie jest taka sama jak 0).
8366275,0,Obliczona wartosc (8366275) nie jest taka sama jak 0).
