50
81,54,72,64,41,448
69,48,15,77,10,855
11,45,46,1,46,898
63,35,61,1,35,847
18,82,21,34,17,344
26,62,20,40,8,992
47,78,64,68,41,539
12,98,99,48,24,559
82,58,93,44,29,437
56,3,94,24,35,824
7,76,72,4,7,963
99,48,5,25,12,797
44,35,88,34,46,570
24,59,31,84,7,352
84,25,34,3,12,656
96,42,86,13,38,521
8,100,26,96,32,793
50,16,54,28,38,224
3,32,51,51,17,947
20,52,31,66,22,750
78,53,83,38,23,464
24,86,4,43,25,297
3,24,56,20,9,990
42,7,54,69,43,297
81,45,15,9,18,213
64,94,44,7,2,727
61,9,44,87,21,250
37,28,39,8,18,931
83,8,36,43,0,822
69,9,80,43,14,347
78,2,19,83,42,214
15,31,37,45,21,514
64,67,32,38,22,239
55,95,35,73,14,533
100,50,43,74,4,349
52,80,57,94,45,447
49,95,57,73,6,342
42,61,53,33,44,437
67,54,99,50,43,579
45,94,84,34,45,417
56,64,64,69,40,930
41,3,10,95,2,252
69,66,30,73,10,595
52,12,7,85,1,894
91,55,24,92,8,985
5,86,26,46,2,409
62,45,21,9,32,691
8,13,41,19,42,599
63,97,34,13,28,504
51,52,78,97,36,714
